0	0	0	0	0	346
0	0	0	0	0	386
0	0	0	0	0	338
0	0	0	0	0	331
0	0	0	0	0	337
0	0	0	0	0	345
0	0	0	0	0	349
0	0	0	0	0	345
0	0	0	0	0	366
0	0	0	0	0	353
0	0	0	0	0	357
0	0	0	0	0	357
0	0	0	0	0	351
0	0	0	0	0	364
0	0	0	0	0	357
0	0	0	0	0	362
0	0	0	0	0	342
0	0	0	0	0	363
0	0	0	0	0	379
0	0	0	0	0	332
0	0	0	0	0	341
0	0	0	0	0	349
0	0	0	0	0	322
0	0	0	0	0	358
0	0	0	0	0	344
0	0	0	0	0	352
0	0	0	0	0	340
0	0	0	0	0	367
0	0	0	0	0	348
0	0	0	0	0	359
0	0	0	0	0	353
0	0	0	0	0	339
0	0	0	0	0	350
0	0	0	0	0	368
0	0	0	0	0	366
0	0	0	0	0	339
0	0	0	0	0	365
0	0	0	0	0	343
0	0	0	0	0	359
0	0	0	0	0	351
0	0	0	0	0	323
0	0	0	0	0	343
0	0	0	0	0	324
0	0	0	0	0	350
0	0	0	0	0	361
0	0	0	0	0	361
0	0	0	0	0	354
0	0	0	0	0	360
0	0	0	0	0	329
0	0	0	0	0	347
0	0	0	0	0	368
0	0	0	0	0	361
0	0	0	0	0	373
0	0	0	0	0	344
0	0	0	0	0	336
0	0	0	0	0	348
0	0	0	0	0	343
0	0	0	0	0	320
0	0	0	0	0	330
0	0	0	0	0	352
0	0	0	0	0	369
0	0	0	0	0	320
0	0	0	0	0	347
0	0	0	0	0	321
0	0	0	0	0	355
0	0	0	0	0	371
0	0	0	0	0	370
0	0	0	0	0	353
0	0	0	0	0	352
0	0	0	0	0	347
0	0	0	0	0	355
0	0	0	0	0	379
0	0	0	0	0	366
0	0	0	0	0	325
0	0	0	0	0	337
0	0	0	0	0	345
0	0	0	0	0	314
0	0	0	0	0	333
0	0	0	0	0	360
0	0	0	0	0	327
0	0	0	0	0	336
0	0	0	0	0	356
0	0	0	0	0	341
0	0	0	0	0	332
0	0	0	0	0	355
0	0	0	0	0	348
0	0	0	0	0	342
0	0	0	0	0	341
0	0	0	0	0	367
0	0	0	0	0	353
0	0	0	0	0	338
0	0	0	0	0	341
0	0	0	0	0	336
0	0	0	0	0	347
0	0	0	0	0	375
0	0	0	0	0	326
0	0	0	0	0	346
0	0	0	0	0	344
0	0	0	0	0	348
0	0	0	0	0	347
0	0	0	0	0	336
0	0	0	0	0	350
0	0	0	0	0	321
0	0	0	0	0	340
0	0	0	0	0	348
0	0	0	0	0	348
0	0	0	0	0	339
0	0	0	0	0	327
0	0	0	0	0	316
0	0	0	0	0	337
0	0	0	0	0	352
0	0	0	0	0	335
0	0	0	0	0	350
0	0	0	0	0	339
0	0	0	0	0	330
0	0	0	0	0	328
0	0	0	0	0	357
0	0	0	0	0	300
0	0	0	0	0	337
0	0	0	0	0	346
0	0	0	0	0	356
0	0	0	0	0	334
0	0	0	0	0	329
0	0	0	0	0	335
0	0	0	0	0	332
0	0	0	0	0	365
0	0	0	0	0	361
0	0	0	0	0	326
0	0	0	0	0	333
0	0	0	0	0	329
0	0	0	0	0	353
0	0	0	0	0	352
0	0	0	0	0	341
0	0	0	0	0	351
0	0	0	0	0	344
0	0	0	0	0	335
0	0	0	0	0	324
0	0	0	0	0	346
0	0	0	0	0	329
0	0	0	0	0	330
0	0	0	0	0	361
0	0	0	0	0	334
0	0	0	0	0	332
0	0	0	0	0	357
0	0	0	0	0	350
0	0	0	0	0	389
0	0	0	0	0	338
0	0	0	0	0	345
0	0	0	0	0	366
0	0	0	0	0	338
0	0	0	0	0	344
0	0	0	0	0	369
0	0	0	0	0	333
0	0	0	0	0	335
0	0	0	0	0	348
0	0	0	0	0	361
0	0	0	0	0	369
0	0	0	0	0	354
0	0	0	0	0	332
0	0	0	0	0	319
0	0	0	0	0	351
0	0	0	0	0	329
0	0	0	0	0	330
0	0	0	0	0	371
0	0	0	0	0	335
0	0	0	0	0	329
0	0	0	0	0	357
0	0	0	0	0	361
0	0	0	0	0	350
0	0	0	0	0	337
0	0	0	0	0	347
0	0	0	0	0	379
0	0	0	0	0	340
0	0	0	0	0	343
0	0	0	0	0	376
0	0	0	0	0	350
0	0	0	0	0	341
0	0	0	0	0	319
0	0	0	0	0	335
0	0	0	0	0	341
0	0	0	0	0	332
0	0	0	0	0	364
0	0	0	0	0	350
0	0	0	0	0	378
0	0	0	0	0	356
0	0	0	0	0	342
0	0	0	0	0	326
0	0	0	0	0	343
0	0	0	0	0	342
0	0	0	0	0	356
0	0	0	0	0	350
0	0	0	0	0	354
0	0	0	0	0	359
0	0	0	0	0	323
0	0	0	0	0	334
0	0	0	0	0	334
0	0	0	0	0	356
0	0	0	0	0	320
0	0	0	0	0	362
0	0	0	0	0	353
0	0	0	0	0	353
0	0	0	0	0	358
0	0	0	0	0	351
0	0	0	0	0	364
0	0	0	0	0	339
0	0	0	0	0	336
0	0	0	0	0	337
0	0	0	0	0	369
0	0	0	0	0	336
0	0	0	0	0	359
0	0	0	0	0	367
0	0	0	0	0	337
0	0	0	0	0	336
0	0	0	0	0	335
0	0	0	0	0	320
0	0	0	0	0	360
0	0	0	0	0	344
0	0	0	0	0	345
0	0	0	0	0	317
0	0	0	0	0	339
0	0	0	0	0	341
0	0	0	0	0	338
0	0	0	0	0	326
0	0	0	0	0	351
0	0	0	0	0	354
0	0	0	0	0	320
0	0	0	0	0	342
0	0	0	0	0	354
0	0	0	0	0	345
0	0	0	0	0	333
0	0	0	0	0	321
0	0	0	0	0	365
0	0	0	0	0	336
0	0	0	0	0	333
0	0	0	0	0	356
0	0	0	0	0	353
0	0	0	0	0	366
0	0	0	0	0	330
0	0	0	0	0	355
0	0	0	0	0	354
0	0	0	0	0	340
0	0	0	0	0	324
0	0	0	0	0	349
0	0	0	0	0	328
0	0	0	0	0	364
0	0	0	0	0	348
0	0	0	0	0	352
0	0	0	0	0	360
0	0	0	0	0	343
0	0	0	0	0	322
0	0	0	0	0	329
0	0	0	0	0	354
0	0	0	0	0	360
0	0	0	0	0	367
0	0	0	0	0	365
0	0	0	0	0	335
0	0	0	0	0	331
0	0	0	0	0	325
0	0	0	0	0	355
0	0	0	0	0	372
0	0	0	0	0	347
0	0	0	0	0	362
0	0	0	0	0	340
0	0	0	0	0	348
0	0	0	0	0	365
0	0	0	0	0	335
0	0	0	0	0	346
0	0	0	0	0	339
0	0	0	0	0	355
0	0	0	0	0	340
0	0	0	0	0	353
0	0	0	0	0	347
0	0	0	0	0	362
0	0	0	0	0	349
0	0	0	0	0	341
0	0	0	0	0	350
0	0	0	0	0	343
0	0	0	0	0	368
0	0	0	0	0	326
0	0	0	0	0	339
0	0	0	0	0	317
0	0	0	0	0	352
0	0	0	0	0	346
0	0	0	0	0	327
0	0	0	0	0	356
0	0	0	0	0	334
0	0	0	0	0	349
0	0	0	0	0	349
0	0	0	0	0	368
0	0	0	0	0	372
0	0	0	0	0	364
0	0	0	0	0	349
0	0	0	0	0	365
0	0	0	0	0	370
0	0	0	0	0	342
0	0	0	0	0	346
0	0	0	0	0	376
0	0	0	0	0	327
0	0	0	0	0	320
0	0	0	0	0	322
0	0	0	0	0	365
0	0	0	0	0	355
0	0	0	0	0	352
0	0	0	0	0	312
0	0	0	0	0	368
0	0	0	0	0	330
0	0	0	0	0	336
0	0	0	0	0	336
0	0	0	0	0	332
0	0	0	0	0	330
0	0	0	0	0	343
0	0	0	0	0	358
0	0	0	0	0	314
0	0	0	0	0	341
0	0	0	0	0	324
0	0	0	0	0	324
0	0	0	0	0	335
0	0	0	0	0	347
0	0	0	0	0	347
0	0	0	0	0	348
0	0	0	0	0	371
0	0	0	0	0	332
0	0	0	0	0	336
0	0	0	0	0	334
0	0	0	0	0	376
0	0	0	0	0	389
0	0	0	0	0	330
0	0	0	0	0	345
0	0	0	0	0	341
0	0	0	0	0	343
0	0	0	0	0	385
0	0	0	0	0	351
0	0	0	0	0	349
0	0	0	0	0	346
0	0	0	0	0	316
0	0	0	0	0	365
0	0	0	0	0	361
0	0	0	0	0	338
0	0	0	0	0	343
0	0	0	0	0	352
0	0	0	0	0	337
0	0	0	0	0	355
0	0	0	0	0	347
0	0	0	0	0	331
0	0	0	0	0	351
0	0	0	0	0	360
0	0	0	0	0	347
0	0	0	0	0	362
0	0	0	0	0	339
0	0	0	0	0	346
0	0	0	0	0	339
0	0	0	0	0	304
0	0	0	0	0	345
0	0	0	0	0	349
0	0	0	0	0	352
0	0	0	0	0	345
0	0	0	0	0	335
0	0	0	0	0	340
0	0	0	0	0	361
0	0	0	0	0	336
0	0	0	0	0	347
0	0	0	0	0	364
0	0	0	0	0	339
0	0	0	0	0	330
0	0	0	0	0	379
0	0	0	0	0	323
0	0	0	0	0	360
0	0	0	0	0	333
0	0	0	0	0	339
0	0	0	0	0	361
0	0	0	0	0	347
0	0	0	0	0	345
0	0	0	0	0	346
0	0	0	0	0	339
0	0	0	0	0	346
0	0	0	0	0	352
0	0	0	0	0	333
0	0	0	0	0	357
0	0	0	0	0	330
0	0	0	0	0	352
0	0	0	0	0	345
0	0	0	0	0	360
0	0	0	0	0	368
0	0	0	0	0	363
0	0	0	0	0	335
0	0	0	0	0	330
0	0	0	0	0	343
0	0	0	0	0	350
0	0	0	0	0	338
0	0	0	0	0	338
0	0	0	0	0	337
0	0	0	0	0	351
0	0	0	0	0	350
0	0	0	0	0	354
0	0	0	0	0	353
0	0	0	0	0	334
0	0	0	0	0	343
0	0	0	0	0	361
0	0	0	0	0	330
0	0	0	0	0	369
0	0	0	0	0	349
0	0	0	0	0	329
0	0	0	0	0	343
0	0	0	0	0	354
0	0	0	0	0	348
0	0	0	0	0	329
0	0	0	0	0	342
0	0	0	0	0	358
0	0	0	0	0	355
0	0	0	0	0	327
0	0	0	0	0	347
0	0	0	0	0	390
0	0	0	0	0	348
0	0	0	0	0	338
0	0	0	0	0	345
0	0	0	0	0	335
0	0	0	0	0	366
0	0	0	0	0	349
0	0	0	0	0	359
0	0	0	0	0	336
0	0	0	0	0	356
0	0	0	0	0	350
0	0	0	0	0	340
0	0	0	0	0	335
0	0	0	0	0	376
0	0	0	0	0	358
0	0	0	0	0	349
0	0	0	0	0	348
0	0	0	0	0	343
0	0	0	0	0	365
0	0	0	0	0	330
0	0	0	0	0	327
0	0	0	0	0	334
0	0	0	0	0	349
0	0	0	0	0	338
0	0	0	0	0	331
0	0	0	0	0	375
0	0	0	0	0	335
0	0	0	0	0	338
0	0	0	0	0	344
0	0	0	0	0	332
0	0	0	0	0	341
0	0	0	0	0	330
0	0	0	0	0	357
0	0	0	0	0	324
0	0	0	0	0	350
0	0	0	0	0	342
0	0	0	0	0	320
0	0	0	0	0	335
0	0	0	0	0	346
0	0	0	0	0	337
0	0	0	0	0	336
0	0	0	0	0	353
0	0	0	0	0	327
0	0	0	0	0	347
0	0	0	0	0	351
0	0	0	0	0	355
0	0	0	0	0	339
0	0	0	0	0	333
0	0	0	0	0	315
0	0	0	0	0	353
0	0	0	0	0	361
0	0	0	0	0	329
0	0	0	0	0	339
0	0	0	0	0	332
0	0	0	0	0	329
0	0	0	0	0	342
0	0	0	0	0	368
0	0	0	0	0	349
0	0	0	0	0	346
0	0	0	0	0	341
0	0	0	0	0	352
0	0	0	0	0	336
0	0	0	0	0	326
0	0	0	0	0	350
0	0	0	0	0	338
0	0	0	0	0	363
0	0	0	0	0	337
0	0	0	0	0	330
0	0	0	0	0	329
0	0	0	0	0	359
0	0	0	0	0	344
0	0	0	0	0	308
0	0	0	0	0	316
0	0	0	0	0	349
0	0	0	0	0	377
0	0	0	0	0	325
0	0	0	0	0	338
0	0	0	0	0	348
0	0	0	0	0	338
0	0	0	0	0	346
0	0	0	0	0	297
0	0	0	0	0	333
0	0	0	0	0	342
0	0	0	0	0	338
0	0	0	0	0	336
0	0	0	0	0	355
0	0	0	0	0	344
0	0	0	0	0	348
0	0	0	0	0	333
0	0	0	0	0	354
0	0	0	0	0	349
0	0	0	0	0	339
0	0	0	0	0	317
0	0	0	0	0	342
0	0	0	0	0	348
0	0	0	0	0	343
0	0	0	0	0	350
0	0	0	0	0	325
0	0	0	0	0	323
0	0	0	0	0	369
0	0	0	0	0	355
0	0	0	0	0	337
0	0	0	0	0	356
0	0	0	0	0	359
0	0	0	0	0	358
0	0	0	0	0	345
0	0	0	0	0	373
0	0	0	0	0	360
0	0	0	0	0	339
0	0	0	0	0	345
0	0	0	0	0	338
0	0	0	0	0	347
0	0	0	0	0	356
0	0	0	0	0	340
0	0	0	0	0	377
0	0	0	0	0	361
0	0	0	0	0	355
0	0	0	0	0	337
0	0	0	0	0	328
0	0	0	0	0	366
0	0	0	0	0	350
0	0	0	0	0	337
0	0	0	0	0	319
0	0	0	0	0	352
0	0	0	0	0	356
0	0	0	0	0	345
0	0	0	0	0	323
0	0	0	0	0	343
0	0	0	0	0	347
0	0	0	0	0	349
0	0	0	0	0	343
0	0	0	0	0	324
0	0	0	0	0	381
0	0	0	0	0	328
0	0	0	0	0	332
0	0	0	0	0	352
0	0	0	0	0	327
0	0	0	0	0	357
0	0	0	0	0	358
0	0	0	0	0	330
0	0	0	0	0	369
0	0	0	0	0	319
0	0	0	0	0	314
0	0	0	0	0	340
0	0	0	0	0	360
0	0	0	0	0	340
0	0	0	0	0	337
0	0	0	0	0	359
0	0	0	0	0	366
0	0	0	0	0	361
0	0	0	0	0	334
0	0	0	0	0	356
0	0	0	0	0	344
0	0	0	0	0	336
0	0	0	0	0	330
0	0	0	0	0	358
0	0	0	0	0	348
0	0	0	0	0	346
0	0	0	0	0	330
0	0	0	0	0	337
0	0	0	0	0	325
0	0	0	0	0	355
0	0	0	0	0	358
0	0	0	0	0	331
0	0	0	0	0	373
0	0	0	0	0	334
0	0	0	0	0	352
0	0	0	0	0	358
0	0	0	0	0	372
0	0	0	0	0	342
0	0	0	0	0	349
0	0	0	0	0	342
0	0	0	0	0	336
0	0	0	0	0	356
0	0	0	0	0	339
0	0	0	0	0	332
0	0	0	0	0	360
0	0	0	0	0	317
0	0	0	0	0	329
0	0	0	0	0	321
0	0	0	0	0	334
0	0	0	0	0	348
0	0	0	0	0	339
0	0	0	0	0	332
0	0	0	0	0	340
0	0	0	0	0	346
0	0	0	0	0	341
0	0	0	0	0	342
0	0	0	0	0	348
0	0	0	0	0	334
0	0	0	0	0	335
0	0	0	0	0	335
0	0	0	0	0	359
0	0	0	0	0	349
0	0	0	0	0	360
0	0	0	0	0	340
0	0	0	0	0	335
0	0	0	0	0	348
0	0	0	0	0	362
0	0	0	0	0	317
0	0	0	0	0	344
0	0	0	0	0	335
0	0	0	0	0	332
0	0	0	0	0	323
0	0	0	0	0	350
0	0	0	0	0	338
0	0	0	0	0	353
0	0	0	0	0	334
0	0	0	0	0	319
0	0	0	0	0	350
0	0	0	0	0	354
0	0	0	0	0	333
0	0	0	0	0	338
0	0	0	0	0	325
0	0	0	0	0	322
0	0	0	0	0	355
0	0	0	0	0	333
0	0	0	0	0	332
0	0	0	0	0	327
0	0	0	0	0	339
0	0	0	0	0	343
0	0	0	0	0	354
0	0	0	0	0	347
0	0	0	0	0	319
0	0	0	0	0	365
0	0	0	0	0	331
0	0	0	0	0	359
0	0	0	0	0	370
0	0	0	0	0	375
0	0	0	0	0	334
0	0	0	0	0	343
0	0	0	0	0	355
0	0	0	0	0	339
0	0	0	0	0	327
0	0	0	0	0	350
0	0	0	0	0	353
0	0	0	0	0	343
0	0	0	0	0	346
0	0	0	0	0	345
0	0	0	0	0	371
0	0	0	0	0	349
0	0	0	0	0	316
0	0	0	0	0	347
0	0	0	0	0	339
0	0	0	0	0	355
0	0	0	0	0	346
0	0	0	0	0	348
0	0	0	0	0	347
0	0	0	0	0	354
0	0	0	0	0	341
0	0	0	0	0	328
0	0	0	0	0	330
0	0	0	0	0	355
0	0	0	0	0	337
0	0	0	0	0	338
0	0	0	0	0	341
0	0	0	0	0	360
0	0	0	0	0	346
0	0	0	0	0	352
0	0	0	0	0	340
0	0	0	0	0	335
0	0	0	0	0	342
0	0	0	0	0	347
0	0	0	0	0	328
0	0	0	0	0	340
0	0	0	0	0	334
0	0	0	0	0	334
0	0	0	0	0	355
0	0	0	0	0	355
0	0	0	0	0	320
0	0	0	0	0	351
0	0	0	0	0	345
0	0	0	0	0	332
0	0	0	0	0	343
0	0	0	0	0	337
0	0	0	0	0	357
0	0	0	0	0	340
0	0	0	0	0	322
0	0	0	0	0	311
0	0	0	0	0	339
0	0	0	0	0	365
0	0	0	0	0	357
0	0	0	0	0	334
0	0	0	0	0	354
0	0	0	0	0	330
0	0	0	0	0	339
0	0	0	0	0	339
0	0	0	0	0	347
0	0	0	0	0	333
0	0	0	0	0	347
0	0	0	0	0	344
0	0	0	0	0	345
0	0	0	0	0	352
0	0	0	0	0	351
0	0	0	0	0	329
0	0	0	0	0	343
0	0	0	0	0	376
0	0	0	0	0	352
0	0	0	0	0	338
0	0	0	0	0	335
0	0	0	0	0	331
0	0	0	0	0	331
0	0	0	0	0	331
0	0	0	0	0	339
0	0	0	0	0	331
0	0	0	0	0	348
0	0	0	0	0	339
0	0	0	0	0	354
0	0	0	0	0	363
0	0	0	0	0	372
0	0	0	0	0	323
0	0	0	0	0	329
0	0	0	0	0	332
0	0	0	0	0	326
0	0	0	0	0	378
0	0	0	0	0	323
0	0	0	0	0	344
0	0	0	0	0	350
0	0	0	0	0	350
0	0	0	0	0	345
0	0	0	0	0	354
0	0	0	0	0	343
0	0	0	0	0	328
0	0	0	0	0	345
0	0	0	0	0	336
0	0	0	0	0	354
0	0	0	0	0	325
0	0	0	0	0	338
0	0	0	0	0	360
0	0	0	0	0	342
0	0	0	0	0	340
0	0	0	0	0	343
0	0	0	0	0	336
0	0	0	0	0	343
0	0	0	0	0	366
0	0	0	0	0	327
0	0	0	0	0	357
0	0	0	0	0	333
0	0	0	0	0	341
0	0	0	0	0	332
0	0	0	0	0	342
0	0	0	0	0	363
0	0	0	0	0	334
0	0	0	0	0	320
0	0	0	0	0	351
0	0	0	0	0	342
0	0	0	0	0	352
0	0	0	0	0	355
0	0	0	0	0	333
0	0	0	0	0	349
0	0	0	0	0	353
0	0	0	0	0	357
0	0	0	0	0	342
0	0	0	0	0	365
0	0	0	0	0	353
0	0	0	0	0	347
0	0	0	0	0	331
0	0	0	0	0	333
0	0	0	0	0	373
0	0	0	0	0	322
0	0	0	0	0	348
0	0	0	0	0	339
0	0	0	0	0	341
0	0	0	0	0	357
0	0	0	0	0	352
0	0	0	0	0	344
0	0	0	0	0	328
0	0	0	0	0	317
0	0	0	0	0	362
0	0	0	0	0	338
0	0	0	0	0	354
0	0	0	0	0	352
0	0	0	0	0	345
0	0	0	0	0	339
0	0	0	0	0	355
0	0	0	0	0	348
0	0	0	0	0	318
0	0	0	0	0	343
0	0	0	0	0	315
0	0	0	0	0	340
0	0	0	0	0	360
0	0	0	0	0	318
0	0	0	0	0	355
0	0	0	0	0	381
0	0	0	0	0	353
0	0	0	0	0	348
0	0	0	0	0	349
0	0	0	0	0	353
0	0	0	0	0	355
0	0	0	0	0	334
0	0	0	0	0	338
0	0	0	0	0	335
0	0	0	0	0	328
0	0	0	0	0	325
0	0	0	0	0	328
0	0	0	0	0	327
0	0	0	0	0	356
0	0	0	0	0	347
0	0	0	0	0	354
0	0	0	0	0	378
0	0	0	0	0	329
0	0	0	0	0	363
0	0	0	0	0	371
0	0	0	0	0	340
0	0	0	0	0	331
0	0	0	0	0	348
0	0	0	0	0	350
0	0	0	0	0	339
0	0	0	0	0	360
0	0	0	0	0	343
0	0	0	0	0	351
0	0	0	0	0	343
0	0	0	0	0	335
0	0	0	0	0	361
0	0	0	0	0	341
0	0	0	0	0	350
0	0	0	0	0	334
0	0	0	0	0	326
0	0	0	0	0	356
0	0	0	0	0	360
0	0	0	0	0	339
0	0	0	0	0	364
0	0	0	0	0	347
0	0	0	0	0	345
0	0	0	0	0	326
0	0	0	0	0	345
0	0	0	0	0	364
0	0	0	0	0	339
0	0	0	0	0	354
0	0	0	0	0	349
0	0	0	0	0	354
0	0	0	0	0	333
0	0	0	0	0	349
0	0	0	0	0	345
0	0	0	0	0	333
0	0	0	0	0	337
0	0	0	0	0	340
0	0	0	0	0	357
0	0	0	0	0	349
0	0	0	0	0	355
0	0	0	0	0	366
0	0	0	0	0	361
0	0	0	0	0	345
0	0	0	0	0	371
0	0	0	0	0	365
0	0	0	0	0	338
0	0	0	0	0	326
0	0	0	0	0	366
0	0	0	0	0	334
0	0	0	0	0	355
0	0	0	0	0	335
0	0	0	0	0	349
0	0	0	0	0	341
0	0	0	0	0	343
0	0	0	0	0	371
0	0	0	0	0	336
0	0	0	0	0	366
0	0	0	0	0	339
0	0	0	0	0	360
0	0	0	0	0	344
0	0	0	0	0	323
0	0	0	0	0	352
0	0	0	0	0	333
0	0	0	0	0	347
0	0	0	0	0	346
0	0	0	0	0	348
0	0	0	0	0	361
0	0	0	0	0	340
0	0	0	0	0	376
0	0	0	0	0	361
0	0	0	0	0	319
0	0	0	0	0	336
0	0	0	0	0	359
0	0	0	0	0	330
0	0	0	0	0	350
0	0	0	0	0	351
0	0	0	0	0	340
0	0	0	0	0	352
0	0	0	0	0	345
0	0	0	0	0	357
0	0	0	0	0	353
0	0	0	0	0	354
0	0	0	0	0	354
0	0	0	0	0	328
0	0	0	0	0	351
0	0	0	0	0	341
0	0	0	0	0	371
0	0	0	0	0	353
0	0	0	0	0	351
0	0	0	0	0	346
0	0	0	0	0	353
0	0	0	0	0	336
0	0	0	0	0	355
0	0	0	0	0	354
0	0	0	0	0	316
0	0	0	0	0	316
0	0	0	0	0	366
0	0	0	0	0	342
0	0	0	0	0	339
0	0	0	0	0	338
0	0	0	0	0	336
0	0	0	0	0	346
0	0	0	0	0	326
0	0	0	0	0	343
0	0	0	0	0	343
0	0	0	0	0	351
0	0	0	0	0	345
0	0	0	0	0	352
0	0	0	0	0	347
0	0	0	0	0	356
0	0	0	0	0	353
0	0	0	0	0	326
0	0	0	0	0	360
0	0	0	0	0	373
0	0	0	0	0	358
0	0	0	0	0	323
0	0	0	0	0	344
0	0	0	0	0	365
0	0	0	0	0	370
0	0	0	0	0	357
0	0	0	0	0	352
0	0	0	0	0	342
0	0	0	0	0	350
0	0	0	0	0	326
0	0	0	0	0	336
0	0	0	0	0	349
0	0	0	0	0	336
0	0	0	0	0	352
0	0	0	0	0	340
0	0	0	0	0	362
0	0	0	0	0	321
0	0	0	0	0	359
0	0	0	0	0	348
0	0	0	0	0	347
0	0	0	0	0	347
0	0	0	0	0	336
0	0	0	0	0	361
0	0	0	0	0	329
0	0	0	0	0	345
0	0	0	0	0	341
0	0	0	0	0	325
0	0	0	0	0	347
0	0	0	0	0	361
0	0	0	0	0	337
0	0	0	0	0	351
0	0	0	0	0	343
0	0	0	0	0	336
0	0	0	0	0	334
0	0	0	0	0	357
0	0	0	0	0	349
0	0	0	0	0	334
0	0	0	0	0	335
0	0	0	0	0	369
0	0	0	0	0	357
0	0	0	0	0	350
0	0	0	0	0	334
0	0	0	0	0	348
0	0	0	0	0	335
0	0	0	0	0	363
0	0	0	0	0	322
0	0	0	0	0	345
0	0	0	0	0	354
0	0	0	0	0	358
0	0	0	0	0	364
0	0	0	0	0	347
0	0	0	0	0	328
0	0	0	0	0	335
0	0	0	0	0	345
0	0	0	0	0	338
0	0	0	0	0	352
0	0	0	0	0	342
0	0	0	0	0	368
0	0	0	0	0	366
0	0	0	0	0	339
0	0	0	0	0	339
0	0	0	0	0	346
0	0	0	0	0	355
0	0	0	0	0	340
0	0	0	0	0	351
0	0	0	0	0	358
0	0	0	0	0	351
0	0	0	0	0	358
0	0	0	0	0	339
0	0	0	0	0	354
0	0	0	0	0	373
0	0	0	0	0	330
0	0	0	0	0	382
0	0	0	0	0	359
0	0	0	0	0	338
0	0	0	0	0	329
0	0	0	0	0	365
0	0	0	0	0	341
0	0	0	0	0	347
0	0	0	0	0	383
0	0	0	0	0	351
0	0	0	0	0	317
0	0	0	0	0	362
0	0	0	0	0	356
0	0	0	0	0	326
0	0	0	0	0	353
0	0	0	0	0	366
0	0	0	0	0	307
0	0	0	0	0	357
0	0	0	0	0	332
0	0	0	0	0	350
0	0	0	0	0	318
0	0	0	0	0	334
0	0	0	0	0	348
0	0	0	0	0	354
0	0	0	0	0	364
0	0	0	0	0	330
0	0	0	0	0	344
0	0	0	0	0	354
0	0	0	0	0	346
0	0	0	0	0	358
0	0	0	0	0	366
0	0	0	0	0	365
0	0	0	0	0	348
0	0	0	0	0	341
0	0	0	0	0	330
0	0	0	0	0	345
0	0	0	0	0	316
0	0	0	0	0	345
0	0	0	0	0	337
0	0	0	0	0	364
0	0	0	0	0	354
0	0	0	0	0	368
0	0	0	0	0	357
0	0	0	0	0	340
0	0	0	0	0	359
0	0	0	0	0	343
0	0	0	0	0	364
0	0	0	0	0	330
0	0	0	0	0	321
0	0	0	0	0	349
0	0	0	0	0	370
0	0	0	0	0	343
0	0	0	0	0	336
0	0	0	0	0	326
0	0	0	0	0	342
0	0	0	0	0	338
0	0	0	0	0	329
0	0	0	0	0	322
0	0	0	0	0	353
0	0	0	0	0	314
0	0	0	0	0	327
0	0	0	0	0	321
0	0	0	0	0	355
0	0	0	0	0	323
0	0	0	0	0	317
0	0	0	0	0	346
0	0	0	0	0	360
0	0	0	0	0	345
0	0	0	0	0	321
0	0	0	0	0	334
0	0	0	0	0	363
0	0	0	0	0	335
0	0	0	0	0	348
0	0	0	0	0	333
0	0	0	0	0	357
0	0	0	0	0	370
0	0	0	0	0	348
0	0	0	0	0	346
0	0	0	0	0	347
0	0	0	0	0	346
0	0	0	0	0	324
0	0	0	0	0	311
0	0	0	0	0	353
0	0	0	0	0	340
0	0	0	0	0	359
0	0	0	0	0	359
0	0	0	0	0	334
0	0	0	0	0	343
0	0	0	0	0	335
0	0	0	0	0	338
0	0	0	0	0	361
0	0	0	0	0	347
0	0	0	0	0	352
0	0	0	0	0	345
0	0	0	0	0	336
0	0	0	0	0	348
0	0	0	0	0	347
0	0	0	0	0	332
0	0	0	0	0	329
0	0	0	0	0	341
0	0	0	0	0	356
0	0	0	0	0	364
0	0	0	0	0	311
0	0	0	0	0	353
0	0	0	0	0	332
0	0	0	0	0	334
0	0	0	0	0	377
0	0	0	0	0	317
0	0	0	0	0	354
0	0	0	0	0	357
0	0	0	0	0	347
0	0	0	0	0	368
0	0	0	0	0	325
0	0	0	0	0	361
0	0	0	0	0	362
0	0	0	0	0	336
0	0	0	0	0	329
0	0	0	0	0	338
0	0	0	0	0	368
0	0	0	0	0	350
0	0	0	0	0	352
0	0	0	0	0	340
0	0	0	0	0	353
0	0	0	0	0	328
0	0	0	0	0	344
0	0	0	0	0	332
0	0	0	0	0	358
0	0	0	0	0	330
0	0	0	0	0	353
0	0	0	0	0	351
0	0	0	0	0	328
0	0	0	0	0	333
0	0	0	0	0	346
0	0	0	0	0	345
0	0	0	0	0	354
0	0	0	0	0	349
0	0	0	0	0	327
0	0	0	0	0	309
0	0	0	0	0	349
0	0	0	0	0	354
0	0	0	0	0	311
0	0	0	0	0	380
0	0	0	0	0	333
0	0	0	0	0	345
0	0	0	0	0	339
0	0	0	0	0	339
0	0	0	0	0	349
0	0	0	0	0	349
0	0	0	0	0	329
0	0	0	0	0	359
0	0	0	0	0	342
0	0	0	0	0	354
0	0	0	0	0	361
0	0	0	0	0	347
0	0	0	0	0	384
0	0	0	0	0	336
0	0	0	0	0	321
0	0	0	0	0	329
0	0	0	0	0	345
0	0	0	0	0	331
0	0	0	0	0	364
0	0	0	0	0	381
0	0	0	0	0	344
0	0	0	0	0	349
0	0	0	0	0	325
0	0	0	0	0	341
0	0	0	0	0	351
0	0	0	0	0	337
0	0	0	0	0	337
0	0	0	0	0	353
